Region,North and North East Europe,North and North East Europe,Western Europe,Western Europe,Central and South East Europe,Central and South East Europe,Southern Europe and North Africa,Southern Europe and North Africa,Europe + North Africa total,Europe + North Africa total,Turkey and Middle East,Turkey and Middle East,Remainder of Africa,Remainder of Africa,Asia,Asia,West Indies,West Indies,Central and South America,Central and South America,Australia+New Zealand,Australia+New Zealand,North America (USA+Canada),North America (USA+Canada)
Year,Imports,Exports ,Imports,Exports,Imports,Exports,Imports,Exports,Imports,Exports,Imports,Exports,Imports,Exports,Imports,Exports,Imports,Exports,Imports,Exports,Imports,Exports,Imports,Exports
1884,32.1,15.5,78.5,59.4,28.8,33.3,20.1,19.4,159.5,127.6,15.5,10.6,9.3,8.9,58,49.7,3.8,5.7,17.2,23.2,28.3,26.6,97.3,42.4
1885,33.5,13.6,75.8,52.7,28.3,29.1,19.1,17.4,156.7,112.8,13.8,11.1,7.3,7.4,53.1,48.8,3.7,5,15.4,17.8,23.1,28.1,96.8,39.5
1886,28.7,13,76.2,47.6,25.8,28.7,17.1,16.8,147.8,106.1,11.7,9.8,7.3,6.8,52.9,48.1,1.9,5.2,13.8,20,20.9,25,92,46.6
1887,31.3,13.7,77.2,48.8,29.6,29.7,19.4,18.9,157.5,111.1,11.9,9.6,7.5,8.5,49.4,51,2.1,5.4,16,22.9,23.3,22.3,93.6,49.4
1888,44.6,15.5,80.6,52.2,32.5,30,21.2,17.1,178.9,114.8,11.9,9,8.1,9.7,52.7,54.1,2.7,5.8,17.4,25.6,25.8,28.6,89.1,49.9
1889,47.7,17.9,90.1,52.1,32.8,34.1,22,20,192.6,124.1,14.4,10.3,9,13.7,57.7,50.9,2.4,6,15.9,30.6,26.8,25.6,107.7,53.3
1890,43.4,18.8,88.1,54.8,32.4,33.7,22.8,21.4,186.7,128.7,13.5,11.7,9.4,14.1,51.6,55.8,2.1,7,17.2,29.6,29.3,25.5,109.7,54.6
1891,43.9,17.8,89.3,52.6,33.7,33.4,21,19.1,187.9,122.9,16.4,12.1,9.6,13.1,53.3,52,1.8,5.9,16.7,24.2,31.3,28.3,117,49.4
1892,35,18.2,89.4,49.8,30,32.7,21.5,17.1,175.9,117.8,16.4,10.5,8.7,12.7,48.7,46.6,2.1,5.9,17.5,25.5,30.6,21.5,122.8,49.9
1893,39.5,19.5,89.4,48.6,32.3,31.2,18.6,15.5,179.8,114.8,14,10,9.1,13.9,44.7,46.3,2,5.6,18.8,24.1,29.9,16.9,105.1,54.3
1894,45.1,21.1,88.1,46.7,32.4,32.8,18.9,16.1,184.5,116.7,14.5,11.5,8.5,13.6,43.9,47,2.3,5.1,18.9,22.4,31.8,17.9,102.5,38.2
1895,47.2,29.4,93.4,43.5,30.4,36,19.7,15.7,190.7,124.6,15.6,9.6,9,15.9,43.5,43.5,2.1,4.7,21.1,25,33.4,19.3,99.9,50.7
1896,47.2,21.7,98.6,45.3,32.4,37.7,20.4,15.3,198.6,120,15.2,9.7,8.9,20.5,41.8,51.9,1.9,4.2,21.7,25.6,29.4,24.3,122.7,38.7
1897,48.1,22.9,103.2,45.6,30.1,36,22.2,15.7,203.6,120.2,15.8,12.1,8.9,20.3,40,47.7,1.6,3.7,17.4,20.5,29.3,23.7,132.5,44.4
1898,45.9,26.6,101.5,47.4,32.3,37.3,23.2,16.2,202.9,127.5,14.1,11.8,10.4,19.4,42.9,49.7,1.4,3.1,21.4,21.4,28.8,23.5,140.9,36
1899,46.5,30.4,106.3,50.9,33.5,42.1,24.6,20.5,210.9,143.9,16.1,11.4,10.6,19.4,46.1,57.7,1.6,4.7,23.4,22.2,33.3,24.7,140.8,44.8
1900,51.6,31.4,108.5,45.7,34,42.5,26.6,23.2,220.7,142.8,18.6,12.2,8.4,21.6,47,57.2,1.8,4.7,28.4,25.3,35.4,29.4,161,47
1901,51.7,27.7,112,50.1,37.5,48.5,24.2,21.7,225.4,148,18,14.6,9.5,26.9,45.8,60.7,2,4.6,26.7,22.5,34.8,29.6,161.4,47.4
1902,56.4,26.4,112.1,48,43.1,37.3,24.9,21.7,236.5,133.4,20.3,13.2,10.2,34.1,47,56.2,2.3,4.3,29.2,22.7,30.6,27.7,150.6,55.5
1903,63.8,29.1,113.3,49.9,41.5,38.3,24.2,22.1,242.8,139.4,19.2,13.1,10.9,36.2,51.1,57.6,2,4.9,35.9,26,30.6,25.1,149.4,54.8
1904,62.9,28.2,116.3,48.1,39.9,40.8,23.1,22.8,242.2,139.9,20.5,16.8,11.3,28,56.5,69.2,2.2,5.4,41.4,30.1,36.3,26.7,142.3,52.1
1905,66,29.2,86,52.6,61.7,47.4,26.6,22.8,240.3,152,20.9,15.8,11.8,27.4,57.2,83,3.4,5.5,49,34.3,40.4,26.5,139.7,61.6
1906,65.7,32.2,89.2,52.4,66,53.9,30.2,26.9,251.1,165.4,23.4,18.3,13,27.5,62.4,86.8,3.8,5.6,47.4,45.1,44.9,30.9,159.8,69.3
1907,69,38.2,88.3,71.9,68.7,48.8,32.1,30.8,258.1,189.7,28.9,19.1,16.7,26.8,71.7,93.9,3.6,6.6,52.7,49.4,51.6,36.5,160.1,77.8
